status,price,bedroom,bathroom,carpark,area,type,address,zipcode,house_url,agent_name,agent_position,agent_company,agent_sale,agent_phone,agent_location,agent_url
Sold by private treaty 5 Oct 2020,510000,3,2,1,,House,38 Bellavista Drive Wollert VIC 3750,3750,https://www.domain.com.au/38-bellavista-drive-wollert-vic-3750-2016530082,Gav Malhotra,Director,hockingstuart Epping,18,0400 441 091,"813 High Street, Epping VIC 3076",https://www.domain.com.au/real-estate-agent/gav-malhotra-1735303/
Sold by private treaty 5 Oct 2020,260000,,1,1,256m²,Vacantland,2 Moyne Street Wollert VIC 3750,3750,https://www.domain.com.au/2-moyne-street-wollert-vic-3750-2016353721,Ricky Wadhwa,Sales Consultant,Prestige Group Real Estate,14,0428 242 901,"Level 1, 1025 High Street, Armadale VIC 3143 Level 1, 1025 High Street, Armadale VIC 3143 Level 1, 1025 High Street, Armadale VIC 3143",https://www.domain.com.au/real-estate-agent/ricky-wadhwa-1744669/
Sold by private treaty 5 Oct 2020,2000000,5,3,4,"2,090m²",House,25 Greg Norman Drive Sanctuary Lakes VIC 3030,3030,https://www.domain.com.au/25-greg-norman-drive-sanctuary-lakes-vic-3030-2015415944,Jande Turksoy,Resd/Comm Property Specialist,The Eleet Wyndham City,12,0432 627 743,"45C, 380 Sayers Road, Tarneit VIC 3029 45C, 380 Sayers Road, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/jande-turksoy-1597369/
Sold by private treaty 5 Oct 2020,610000,3,2,2,591m²,House,54 Hummingbird Boulevard Tarneit VIC 3029,3029,https://www.domain.com.au/54-hummingbird-boulevard-tarneit-vic-3029-2016517199,Rakesh Waadhwa,Director/OIEC,ONE Agency Wyndham,22,0433 385 786,"Shop 46, 380 Sayers Road,, Tarneit VIC 3029 Shop 46, 380 Sayers Road,, Tarneit VIC 3029 Shop 46, 380 Sayers Road,, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/rakesh-waadhwa-1393078/
Sold by private treaty 5 Oct 2020,342000,2,1,1,,.css-in3yi3{font-weight:bold;},.css-164r41r{margin-top:8px;},,https://www.domain.com.au/543-38-mt-alexander-road-travancore-vic-3032-2016496063,Andrew Pennisi,Sales representative,Pennisi Real Estate,21,03 9379 5616,"255c Keilor Road, Essendon VIC 3040 255c Keilor Road, Essendon VIC 3040",https://www.domain.com.au/real-estate-agent/andrew-pennisi-1000433/
Sold by private treaty 5 Oct 2020,1020000,4,2,2,"1,907m²",House,40 Ghazeepore Road Waurn Ponds VIC 3216,3216,https://www.domain.com.au/40-ghazeepore-road-waurn-ponds-vic-3216-2016516092,Deane Hughes,Licensed Real Estate Agent,Barry Plant Highton,6,0407 926 659,"Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216 Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216",https://www.domain.com.au/real-estate-agent/deane-hughes-687282/
Sold by private treaty 5 Oct 2020,550000,4,2,2,,House,22 Wigan Close Wollert VIC 3750,3750,https://www.domain.com.au/22-wigan-close-wollert-vic-3750-2016384894,Tony Elezovic,Senior Sales Executive,Raine & Horne Brunswick,5,0402 999 500,"778-784 Sydney Road, Brunswick VIC 3056 778-784 Sydney Road, Brunswick VIC 3056 778-784 Sydney Road, Brunswick VIC 3056",https://www.domain.com.au/real-estate-agent/tony-elezovic-1560217/
Sold by private treaty 5 Oct 2020,330000,,,,392m²,Vacantland,21 Clapham Avenue Wollert VIC 3750,3750,https://www.domain.com.au/21-clapham-avenue-wollert-vic-3750-2016406506,Love Sharma,Sales representative,Bombay Real Estate Pty Ltd,31,0430 534 802,"244 Epping Road, Wollert VIC 3750",https://www.domain.com.au/real-estate-agent/love-sharma-1696717/
Sold by private treaty 5 Oct 2020,305000,,,,888m²,Vacantland,21 Mako Drive San Remo VIC 3925,3925,https://www.domain.com.au/21-mako-drive-san-remo-vic-3925-2016244868,Jon Taylor,Sales Executive,Ray White Phillip Island,9,0413 966 420,"56-58 Thompson Ave, Cowes VIC 3922 56-58 Thompson Ave, Cowes VIC 3922",https://www.domain.com.au/real-estate-agent/jon-taylor-1599614/
Sold by private treaty 5 Oct 2020,675000,4,2,2,,House,Lot 2/15 Herman Street Rosebud VIC 3939,3939,https://www.domain.com.au/lot-2-15-herman-street-rosebud-vic-3939-2016549351,Darren Sadler,Director & OIEC,GRANGER,16,0448 947 622,"683 Point Nepean Road, Mccrae VIC 3938 683 Point Nepean Road, Mccrae VIC 3938",https://www.domain.com.au/real-estate-agent/darren-sadler-1450125/
Sold by private treaty 5 Oct 2020,742000,3,2,2,321m²,House,4 Shasta Avenue Ringwood East VIC 3135,3135,https://www.domain.com.au/4-shasta-avenue-ringwood-east-vic-3135-2016493978,Scott George,Senior Sales Consultant,Barry Plant Heathmont & Ringwood,1,0410 753 549,"110 Canterbury Road, Heathmont VIC 3135 110 Canterbury Road, Heathmont VIC 3135 110 Canterbury Road, Heathmont VIC 3135",https://www.domain.com.au/real-estate-agent/scott-george-1723447/
Sold by private treaty 5 Oct 2020,785000,3,1,2,613m²,House,139 Rosanna Road Rosanna VIC 3084,3084,https://www.domain.com.au/139-rosanna-road-rosanna-vic-3084-2016389163,Lou Rinnovasi,Sales Associate - LREA,@Realty,3,0417 166 668,"Australia, Surfers Paradise QLD 4217 Australia, Surfers Paradise QLD 4217 Australia, Surfers Paradise QLD 4217",https://www.domain.com.au/real-estate-agent/lou-rinnovasi-1722271/
Sold by private treaty 5 Oct 2020,788000,3,2,2,234m²,Townhouse,3/24 Lower Plenty Road Rosanna VIC 3084,3084,https://www.domain.com.au/3-24-lower-plenty-road-rosanna-vic-3084-2016267564,Leanne Bradford,Sales Consultant,Miles Real Estate Ivanhoe,11,0419 404 495,"143 Upper Heidelberg Rd , Ivanhoe VIC 3079 143 Upper Heidelberg Rd , Ivanhoe VIC 3079 143 Upper Heidelberg Rd , Ivanhoe VIC 3079",https://www.domain.com.au/real-estate-agent/leanne-bradford-1552272/
Sold by private treaty 5 Oct 2020,570000,3,2,2,549m²,House,7 Todd Court Roxburgh Park VIC 3064,3064,https://www.domain.com.au/7-todd-court-roxburgh-park-vic-3064-2016501675,Lem Djemal,Sales representative,Harcourts Roxburgh Park,15,0427 579 365,"G052 Roxburgh Park Shopping Centre, Corner Somerton Road and David Monroe Drive,  Roxburgh Park VIC 3064",https://www.domain.com.au/real-estate-agent/lem-djemal-1540131/
Sold by private treaty 5 Oct 2020,920000,5,2,3,,House,1 San Leandro Drive Reservoir VIC 3073,3073,https://www.domain.com.au/1-san-leandro-drive-reservoir-vic-3073-2016398447,Peter Neofytou,Sales & Marketing,Barry Plant Reservoir,7,0409 868 993,"295 Spring Street, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/peter-neofytou-1464317/
Sold at auction 3 Oct 2020,1120000,3,2,2,,Apartment/Unit/Flat,5/44 Locksley Road Ivanhoe VIC 3079,3079,https://www.domain.com.au/5-44-locksley-road-ivanhoe-vic-3079-2016495500,Liz Walker,Sales representative,Nelson Alexander Ivanhoe,8,0412 659 140,"146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079",https://www.domain.com.au/real-estate-agent/liz-walker-1422585/
Sold by private treaty 3 Oct 2020,1381000,2,1,2,697m²,House,83 Strabane Avenue Mont Albert North VIC 3129,3129,https://www.domain.com.au/83-strabane-avenue-mont-albert-north-vic-3129-2016518160,Thomas Lo,Senior Property Consultant,Fletchers Canterbury,5,0411 126 186,"244-248 Canterbury Road, Canterbury VIC 3126 244-248 Canterbury Road, Canterbury VIC 3126 244-248 Canterbury Road, Canterbury VIC 3126",https://www.domain.com.au/real-estate-agent/thomas-lo-805116/
Sold by private treaty 3 Oct 2020,2800000,4,2,−,1.07ha,House,2 Woodbyne Crescent Mornington VIC 3931,3931,https://www.domain.com.au/2-woodbyne-crescent-mornington-vic-3931-2016456680,Robert Spano,Sales representative,Stockdale & Leggo Ferntree Gully,10,0405 499 835,"Shop 1 Mountain Gate Centre, Ferntree Gully VIC 3156",https://www.domain.com.au/real-estate-agent/robert-spano-1314085/
Sold by private treaty 3 Oct 2020,600000,2,1,2,,Townhouse,4/70-72 Coghlan Street Niddrie VIC 3042,3042,https://www.domain.com.au/4-70-72-coghlan-street-niddrie-vic-3042-2016345610,Julie Adams,,Nelson Alexander Essendon,,, ,https://www.domain.com.au/real-estate-agencies/nelsonalexanderessendon-4722/
Sold by private treaty 5 Oct 2020,671500,3,1,3,,House,10A Hurley Street Reservoir VIC 3073,3073,https://www.domain.com.au/10a-hurley-street-reservoir-vic-3073-2016351335,Spiros Karagiannidis,Sales representative,Nelson Alexander Reservoir,4,0413 348 793,"281-283 Broadway, Reservoir VIC 3073 281-283 Broadway, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/spiros-karagiannidis-1494430/
Sold by private treaty 5 Oct 2020,629000,2,1,2,,Apartment/Unit/Flat,1/97 Purinuan Road Reservoir VIC 3073,3073,https://www.domain.com.au/1-97-purinuan-road-reservoir-vic-3073-2016523793,Joe Horton,Sales representative,Nelson Alexander Reservoir,8,0421 128 008,"281-283 Broadway, Reservoir VIC 3073 281-283 Broadway, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/joe-horton-1491997/
Sold by private treaty 4 Oct 2020,968000,4,3,2,293m²,Townhouse,131 Finlayson Street Rosanna VIC 3084,3084,https://www.domain.com.au/131-finlayson-street-rosanna-vic-3084-2016089982,George Young,Senior Sales Consultant,Harcourts Manningham,6,0407 303 800,"288 Blackburn Road, Doncaster East VIC 3109",https://www.domain.com.au/real-estate-agent/george-young-1729782/
Sold by private treaty 4 Oct 2020,849500,5,2,2,853m²,House,72 Brights Drive Tootgarook VIC 3941,3941,https://www.domain.com.au/72-brights-drive-tootgarook-vic-3941-2016391536,Aaron Rosella,Sales representative,Eview Mornington Peninsula,3,0487 122 202,"Level 1, 311 Main Street, Mornington VIC 3931 Level 1, 311 Main Street, Mornington VIC 3931",https://www.domain.com.au/real-estate-agent/aaron-rosella-1737645/
Sold by private treaty 3 Oct 2020,720000,,,,693m²,Vacantland,24 Anderson Parade Bundoora VIC 3083,3083,https://www.domain.com.au/24-anderson-parade-bundoora-vic-3083-2016308054,Michael Egan,Sales representative,Barry Plant Bundoora,9,0409 416 546,"4/1177 Plenty Rd, Bundoora VIC 3083 4/1177 Plenty Rd, Bundoora VIC 3083",https://www.domain.com.au/real-estate-agent/michael-egan-757362/
Sold at auction 3 Oct 2020,995000,4,2,2,,House,39 Danthonia Street Coburg North VIC 3058,3058,https://www.domain.com.au/39-danthonia-street-coburg-north-vic-3058-2016518478,Damian Ponte,Sales representative,Nelson Alexander | Coburg,7,0419 158 982,"399 Sydney Road, Coburg VIC 3058 399 Sydney Road, Coburg VIC 3058",https://www.domain.com.au/real-estate-agent/damian-ponte-1433009/
Sold at auction 3 Oct 2020,463000,3,1,1,,Townhouse,10 Euroa Street Epping VIC 3076,3076,https://www.domain.com.au/10-euroa-street-epping-vic-3076-2016494824,Justin Sciola,Sales Specialist,Harcourts Rata & Co,13,0423 916 416,"219 High Street, Thomastown VIC 3074 219 High Street, Thomastown VIC 3074",https://www.domain.com.au/real-estate-agent/justin-sciola-1714333/
Sold at auction 3 Oct 2020,245000,,,,401m²,Vacantland,2/103 Dunsterville Crescent Frankston VIC 3199,3199,https://www.domain.com.au/2-103-dunsterville-crescent-frankston-vic-3199-2016479957,George Devic,Sales Agent,Ray White Frankston,6,0400 022 192,"36 Playne Street, Frankston VIC 3199 36 Playne Street, Frankston VIC 3199 36 Playne Street, Frankston VIC 3199",https://www.domain.com.au/real-estate-agent/george-devic-1406879/
Sold by private treaty 3 Oct 2020,735000,3,1,1,,House,165 Corio Street Geelong VIC 3220,3220,https://www.domain.com.au/165-corio-street-geelong-vic-3220-2016504994,Matthew Constantine,Sales representative,Barry Plant Highton,12,0401 393 993,"Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216 Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216",https://www.domain.com.au/real-estate-agent/matthew-constantine-1719969/
Sold by private treaty 3 Oct 2020,607500,3,2,2,,House,66 Frontier Avenue Greenvale VIC 3059,3059,https://www.domain.com.au/66-frontier-avenue-greenvale-vic-3059-2016293656,Ghizlaine Digby,Sales representative,Barry Plant Gladstone Park,13,0439 303 509,"Shop 156E Gladstone Park Shopping Centre, Gladstone Park VIC 3043 Shop 156E Gladstone Park Shopping Centre, Gladstone Park VIC 3043",https://www.domain.com.au/real-estate-agent/ghizlaine-digby-1504042/
Sold by private treaty 4 Oct 2020,615000,4,2,2,807m²,House,13 Jacqueline Place Pakenham VIC 3810,3810,https://www.domain.com.au/13-jacqueline-place-pakenham-vic-3810-2016502143,Megan Gordon,Property Consultant,OBrien Real Estate Pakenham,6,0406 536 836,"Level 1, Suite 2, 48 John Street, Pakenham VIC 3810 Level 1, Suite 2, 48 John Street, Pakenham VIC 3810 Level 1, Suite 2, 48 John Street, Pakenham VIC 3810",https://www.domain.com.au/real-estate-agent/megan-gordon-1624238/
Sold by private treaty 2 Oct 2020,1660000,3,1,1,951m²,House,307 Huntingdale Road Chadstone VIC 3148,3148,https://www.domain.com.au/307-huntingdale-road-chadstone-vic-3148-2016365449,Gideon Marcus,Director,Commercial Bureau Real Estate,1,0423 560 045,"Suite 2, Level 6/410 Collins St, Melbourne VIC 3000",https://www.domain.com.au/real-estate-agent/gideon-marcus-1638524/
Sold by private treaty 2 Oct 2020,551400,3,2,1,,Apartment/Unit/Flat,G06/1451-1453 Centre Road Clayton VIC 3168,3168,https://www.domain.com.au/g06-1451-1453-centre-road-clayton-vic-3168-2016207489,Elroy Malowney,Senior Sales Executive,Ray White Clayton,17,0421 381 499,"304 Clayton Road, Clayton VIC 3168 304 Clayton Road, Clayton VIC 3168 304 Clayton Road, Clayton VIC 3168",https://www.domain.com.au/real-estate-agent/elroy-malowney-1614214/
Sold by private treaty 2 Oct 2020,475000,3,2,2,604m²,House,8 Camberwarra Avenue Clifton Springs VIC 3222,3222,https://www.domain.com.au/8-camberwarra-avenue-clifton-springs-vic-3222-2016066535,Janet Atkins,Sales representative,Hayeswinckle Drysdale,15,0438 849 740,"Shop 5/ 8 High Street, Drysdale VIC 3222 Shop 5/ 8 High Street, Drysdale VIC 3222",https://www.domain.com.au/real-estate-agent/janet-atkins-1400805/
Sold by private treaty 4 Oct 2020,343000,,,,478m²,Vacantland,2 Berth Street Doreen VIC 3754,3754,https://www.domain.com.au/2-berth-street-doreen-vic-3754-2016318798,Maggie Sun,Sales Executive,Ray White Bundoora,10,0425 790 930,"1344-1346 Plenty Road, Bundoora VIC 3083 1344-1346 Plenty Road, Bundoora VIC 3083",https://www.domain.com.au/real-estate-agent/maggie-sun-1759307/
Sold by private treaty 4 Oct 2020,1250000,3,2,2,"4,000m²",House,11 Kruses Road North Warrandyte VIC 3113,3113,https://www.domain.com.au/11-kruses-road-north-warrandyte-vic-3113-2016520399,Chris Chapman,"Director, Auctioneer",Jellis Craig Eltham,4,0421 736 592,"1022 Main Street, Eltham VIC 3095 1022 Main Street, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/chris-chapman-1483720/
Sold at auction 4 Oct 2020,1050000,3,1,2,,House,16 Coonil Street Oakleigh South VIC 3167,3167,https://www.domain.com.au/16-coonil-street-oakleigh-south-vic-3167-2016381092,Dimitri Damianos,Sales representative,Buxton Oakleigh,6,0412 092 944,"21/23 Atherton Road, Oakleigh VIC 3166 21/23 Atherton Road, Oakleigh VIC 3166 21/23 Atherton Road, Oakleigh VIC 3166",https://www.domain.com.au/real-estate-agent/dimitri-damianos-1458944/
Sold by private treaty 2 Oct 2020,685000,3,2,2,,Apartment/Unit/Flat,210C/3 Snake Gully Bundoora VIC 3083,3083,https://www.domain.com.au/210c-3-snake-gully-bundoora-vic-3083-2015320932,Lucas Russell,Property Manager,Kingsford Property,2,0400 771 668,"T14, 299 Toorak Road, South Yarra VIC 3141 T14, 299 Toorak Road, South Yarra VIC 3141 T14, 299 Toorak Road, South Yarra VIC 3141",https://www.domain.com.au/real-estate-agent/lucas-russell-1764955/
Sold by private treaty 2 Oct 2020,1180000,4,2,2,669m²,House,25 Saratoga Avenue Barwon Heads VIC 3227,3227,https://www.domain.com.au/25-saratoga-avenue-barwon-heads-vic-3227-2016490139,Peta Walter,Property Sales,Bellarine Property Pty Ltd,13,0439 354 362,"84 Hitchcock Avenue, Barwon Heads VIC 3227 84 Hitchcock Avenue, Barwon Heads VIC 3227",https://www.domain.com.au/real-estate-agent/peta-walter-1582069/
Sold by private treaty 2 Oct 2020,1300000,5,2,2,"4,364m²",House,31 Thomas Street Beaconsfield VIC 3807,3807,https://www.domain.com.au/31-thomas-street-beaconsfield-vic-3807-2016307417,Anita Taylor,Sales representative,Peake Real Estate,2,0432 805 596,"18 Langmore Lane, Berwick VIC 3806",https://www.domain.com.au/real-estate-agent/anita-taylor-1367934/
Sold by private treaty 2 Oct 2020,920000,1.2ha,,,,Vacantland,1319 Wellington Road Belgrave South VIC 3160,3160,https://www.domain.com.au/1319-wellington-road-belgrave-south-vic-3160-2016460324,Peter Munt,Sales representative,Ray White Bayswater,11,0433 400 230,"First Floor, 41-51 Scoresby Road,  Bayswater VIC 3153",https://www.domain.com.au/real-estate-agent/peter-munt-1767009/
Sold by private treaty 2 Oct 2020,495000,3,2,6,,Apartment/Unit/Flat,2/37 Bruce Street Bell Park VIC 3215,3215,https://www.domain.com.au/2-37-bruce-street-bell-park-vic-3215-2016495692,Joe Grgic,Sales representative,Harcourts North Geelong,26,0438 328 728,"127 Separation Street, North Geelong VIC 3215 127 Separation Street, North Geelong VIC 3215",https://www.domain.com.au/real-estate-agent/joe-grgic-1256651/
Sold by private treaty 2 Oct 2020,1516000,4,2,2,752m²,House,18 Foam Avenue Blairgowrie VIC 3942,3942,https://www.domain.com.au/18-foam-avenue-blairgowrie-vic-3942-2016357802,Nicole McCarthy,Senior Sales Executive,OBrien Real Estate Rye,3,0458 378 497,"2349 Point Nepean Rd, Rye VIC 3941 2349 Point Nepean Rd, Rye VIC 3941 2349 Point Nepean Rd, Rye VIC 3941",https://www.domain.com.au/real-estate-agent/nicole-mccarthy-1758783/
Sold by private treaty 2 Oct 2020,240000,4,3,1,229m²,House,7A Housden Street Broadmeadows VIC 3047,3047,https://www.domain.com.au/7a-housden-street-broadmeadows-vic-3047-2016533966,Richard Ali,Licensed Estate Agent | Auctioneer,Barry Plant Glenroy,17,0411 525 506,"751 Pascoe Vale Road, Glenroy VIC 3046 751 Pascoe Vale Road, Glenroy VIC 3046",https://www.domain.com.au/real-estate-agent/richard-ali-1763253/
Sold by private treaty 2 Oct 2020,512000,3,2,3,448m²,House,7 Seifferts Street Armstrong Creek VIC 3217,3217,https://www.domain.com.au/7-seifferts-street-armstrong-creek-vic-3217-2016510226,Nicole Andrews,Director/Licensed Estate Agent,Eastwood Andrews,7,0421 521 230,"59 Kilgour Street, Geelong VIC 3220 59 Kilgour Street, Geelong VIC 3220",https://www.domain.com.au/real-estate-agent/nicole-andrews-1507413/
Sold by private treaty 3 Oct 2020,625000,2,1,1,,Apartment/Unit/Flat,1/329 Dandenong Road Prahran VIC 3181,3181,https://www.domain.com.au/1-329-dandenong-road-prahran-vic-3181-2016528094,Rohan White,Director & Auctioneer,Buxton St Kilda,10,0408 504 448,"15 Carlisle Street, St Kilda VIC 3182 15 Carlisle Street, St Kilda VIC 3182 15 Carlisle Street, St Kilda VIC 3182",https://www.domain.com.au/real-estate-agent/rohan-white-1421423/
Sold at auction 3 Oct 2020,712000,3,2,2,,Apartment/Unit/Flat,12/261 Dandenong Road Prahran VIC 3181,3181,https://www.domain.com.au/12-261-dandenong-road-prahran-vic-3181-2016375699,Lauchlan Waterfield,Principal Director / Auctioneer,Belle Property Armadale,19,0422 290 489,"1258 High Street, Armadale VIC 3143 1258 High Street, Armadale VIC 3143 1258 High Street, Armadale VIC 3143",https://www.domain.com.au/real-estate-agent/lauchlan-waterfield-847741/
Sold by private treaty 3 Oct 2020,233000,1,1,1,,Studio,31/116 Inkerman Street St Kilda VIC 3182,3182,https://www.domain.com.au/31-116-inkerman-street-st-kilda-vic-3182-2016363526,Christine Lewis,Sales Consultant,Belle Property St Kilda,3,0431 853 727,"204-212 Barkly Street, St Kilda VIC 3182 204-212 Barkly Street, St Kilda VIC 3182 204-212 Barkly Street, St Kilda VIC 3182",https://www.domain.com.au/real-estate-agent/christine-lewis-1725047/
Sold by private treaty 3 Oct 2020,530000,3,2,2,350m²,House,10 Zambezi Street Tarneit VIC 3029,3029,https://www.domain.com.au/10-zambezi-street-tarneit-vic-3029-2016325801,Mike Sarupria,Sales - Area Manager,Ray White Tarneit,22,0430 126 491,"Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029 Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/mike-sarupria-1768749/
Sold at auction 3 Oct 2020,1950000,4,2,1,388m²,House,37 Fenwick Street Thornbury VIC 3071,3071,https://www.domain.com.au/37-fenwick-street-thornbury-vic-3071-2016518192,Nigel Harry,Senior Sales Consultant & Auctioneer,Jellis Craig Northcote,4,0412 464 116,"427-431 High Street, Northcote VIC 3070 427-431 High Street, Northcote VIC 3070 427-431 High Street, Northcote VIC 3070",https://www.domain.com.au/real-estate-agent/nigel-harry-1265854/
Sold by private treaty 3 Oct 2020,210000,,,,310m²,Vacantland,Lot 2713 (Riverwalk) Gorkha Way Werribee VIC 3030,3030,https://www.domain.com.au/lot-2713-riverwalk-gorkha-way-werribee-vic-3030-2016465306,Frank Franze,Sales representative,Places Victoria,20,0423 458 861,"Level 9, 8 Exhibition Street, Melbourne VIC 3000",https://www.domain.com.au/real-estate-agent/frank-franze-1625076/
Sold by private treaty 7 Oct 2020,810000,4,2,3,765m²,House,3 Greenwich Grange Highton VIC 3216,3216,https://www.domain.com.au/3-greenwich-grange-highton-vic-3216-2016492120,Kieron Hunter,Director & Auctioneer,Barry Plant Highton,19,0435 798 405,"Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216 Shops 4 & 5 65-71 Barrabool Rd, Highton VIC 3216",https://www.domain.com.au/real-estate-agent/kieron-hunter-988465/
Sold by private treaty 5 Oct 2020,612500,2,1,1,,Townhouse,5/124-126 Tyler Street Preston VIC 3072,3072,https://www.domain.com.au/5-124-126-tyler-street-preston-vic-3072-2016305761,Adrian Antonello,"Senior Sales Executive, Auctioneer",Barry Plant Reservoir,6,0412 003 318,"295 Spring Street, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/adrian-antonello-908657/
Sold by private treaty 5 Oct 2020,510000,3,1,1,,Apartment/Unit/Flat,28A Proctor Crescent Keilor Downs VIC 3038,3038,https://www.domain.com.au/28a-proctor-crescent-keilor-downs-vic-3038-2016520369,Scott Latham,Sales Consultant,Brad Teal Real Estate Keilor,5,0457 817 772,"684 Old Calder Hwy, Keilor VIC 3036 684 Old Calder Hwy, Keilor VIC 3036",https://www.domain.com.au/real-estate-agent/scott-latham-1441605/
Sold by private treaty 6 Oct 2020,677500,2,1,1,,Apartment/Unit/Flat,6/15 Kendall Street Elwood VIC 3184,3184,https://www.domain.com.au/6-15-kendall-street-elwood-vic-3184-2016409385,Zoe Cherrie,Senior Sales Consultant ,Buxton St Kilda,10,0401 018 013,"15 Carlisle Street, St Kilda VIC 3182 15 Carlisle Street, St Kilda VIC 3182 15 Carlisle Street, St Kilda VIC 3182",https://www.domain.com.au/real-estate-agent/zoe-cherrie-1605036/
Sold by private treaty 6 Oct 2020,1550000,3,2,2,,Townhouse,1c Loranne Street Bentleigh VIC 3204,3204,https://www.domain.com.au/1c-loranne-street-bentleigh-vic-3204-2016526393,Trent Collie,Partner,Jellis Craig Bentleigh,8,,"390 Centre Road, Bentleigh VIC 3204 390 Centre Road, Bentleigh VIC 3204",https://www.domain.com.au/real-estate-agent/trent-collie-1401327/
Sold by private treaty 7 Oct 2020,468500,3,2,2,499m²,House,23 Syme Road Pakenham VIC 3810,3810,https://www.domain.com.au/23-syme-road-pakenham-vic-3810-2016510715,Liza Hickey,Sales representative,Barry Plant Pakenham,7,0481 185 038,"28 Southeast Boulevard, Pakenham VIC 3810 28 Southeast Boulevard, Pakenham VIC 3810 28 Southeast Boulevard, Pakenham VIC 3810",https://www.domain.com.au/real-estate-agent/liza-hickey-1761926/
Sold by private treaty 4 Oct 2020,640000,4,2,2,600m²,House,8 Orion Avenue Cranbourne VIC 3977,3977,https://www.domain.com.au/8-orion-avenue-cranbourne-vic-3977-2016523050,Paul Kleverlaan,Sales representative,YPA Cranbourne,9,0417 741 166,"Shop 3/207 South Gippsland Highway,, Cranbourne VIC 3977",https://www.domain.com.au/real-estate-agent/paul-kleverlaan-1718337/
Sold by private treaty 1 Oct 2020,600000,3,1,3,784m²,House,11 Maxwell Court Langwarrin VIC 3910,3910,https://www.domain.com.au/11-maxwell-court-langwarrin-vic-3910-2016498575,Darren Dowel,Director,Aquire,12,0402 066 436,"1/95 Hartnett Drive, Seaford VIC 3198",https://www.domain.com.au/real-estate-agent/darren-dowel-1171584/
Sold by private treaty 30 Sep 2020,549000,4,2,2,,House,64 Ocean Reach Cape Woolamai VIC 3925,3925,https://www.domain.com.au/64-ocean-reach-cape-woolamai-vic-3925-2014800564,Jaime Morris,Property Consultant,OBrien Real Estate Judith Wright,19,0408 367 310,"52-54 Thompson Avenue, Cowes VIC 3922 52-54 Thompson Avenue, Cowes VIC 3922",https://www.domain.com.au/real-estate-agent/jaime-morris-1624436/
Sold by private treaty 30 Sep 2020,675000,5,2,2,610m²,House,9 Mulga Place Carrum Downs VIC 3201,3201,https://www.domain.com.au/9-mulga-place-carrum-downs-vic-3201-2016372013,Troy Pullar,Sales representative,Harcourts Real Estate Carrum Downs,3,0407 900 166,"Shop 3/115 Hall Road, Carrum Downs VIC 3201",https://www.domain.com.au/real-estate-agent/troy-pullar-1650132/
Sold by private treaty 30 Sep 2020,920000,3,1,−,497m²,House,20 McIvor Street Cheltenham VIC 3192,3192,https://www.domain.com.au/20-mcivor-street-cheltenham-vic-3192-2016427617,Steve Pinirou,Sales Consultant,Eview Group - Australia,4,0402 837 853,"463 Nepean Highway, Frankston VIC 3199 463 Nepean Highway, Frankston VIC 3199",https://www.domain.com.au/real-estate-agent/steve-pinirou-1610390/
Sold at auction 30 Sep 2020,543000,2,1,2,,Apartment/Unit/Flat,4/5 Burton Avenue Clayton VIC 3168,3168,https://www.domain.com.au/4-5-burton-avenue-clayton-vic-3168-2016481692,Leigh Kelepouris,Senior Sales Executive,Ray White Oakleigh,9,0422 283 480,"Level 1 7-9 Atherton Road, Oakleigh VIC 3166 Level 1 7-9 Atherton Road, Oakleigh VIC 3166 Level 1 7-9 Atherton Road, Oakleigh VIC 3166",https://www.domain.com.au/real-estate-agent/leigh-kelepouris-1112104/
Sold by private treaty 30 Sep 2020,585000,4,2,6,852m²,House,97 Country Club Drive Clifton Springs VIC 3222,3222,https://www.domain.com.au/97-country-club-drive-clifton-springs-vic-3222-2016483882,Rhonda Humpage,Sales representative,Stockdale & Leggo Drysdale,24,0457 313 609,"2/11 Clifton Springs Rd, Drysdale VIC 3222 2/11 Clifton Springs Rd, Drysdale VIC 3222",https://www.domain.com.au/real-estate-agent/rhonda-humpage-1390148/
